U+2A883	𪢃	kw
U+2A884	𪢄	ky
U+2A885	𪢅	kw
U+2A886	𪢆	kz
U+2A887	𪢇	kz
U+2A888	𪢈	hl
U+2A889	𪢉	kt
U+2A88A	𪢊	kz
U+2A88B	𪢋	kj
U+2A88C	𪢌	kl
U+2A88D	𪢍	kj
U+2A88E	𪢎	ks
U+2A88F	𪢏	cc
U+2A890	𪢐	kl
U+2A891	𪢑	kh
U+2A892	𪢒	ks
U+2A893	𪢓	yr
U+2A894	𪢔	kz
U+2A895	𪢕	kz
U+2A896	𪢖	kw
U+2A897	𪢗	km
U+2A898	𪢘	kl
U+2A899	𪢙	kg
U+2A89A	𪢚	kc
U+2A89B	𪢛	yz
U+2A89C	𪢜	kp
U+2A89D	𪢝	kd
U+2A89E	𪢞	xx
U+2A89F	𪢟	ky
U+2A8A0	𪢠	kj
U+2A8A1	𪢡	gq
U+2A8A2	𪢢	xy
U+2A8A3	𪢣	xm
U+2A8A4	𪢤	kj
U+2A8A5	𪢥	kb
U+2A8A6	𪢦	gw
U+2A8A7	𪢧	kt
U+2A8A8	𪢨	kw
U+2A8A9	𪢩	kp
U+2A8AA	𪢪	ky
U+2A8AB	𪢫	kc
U+2A8AC	𪢬	kk
U+2A8AD	𪢭	kb
U+2A8AE	𪢮	kl
U+2A8AF	𪢯	kx
U+2A8B0	𪢰	yw
U+2A8B1	𪢱	tb
U+2A8B2	𪢲	ty
U+2A8B3	𪢳	qy
U+2A8B4	𪢴	tt
U+2A8B5	𪢵	tf
U+2A8B6	𪢶	wt
U+2A8B7	𪢷	tw
U+2A8B8	𪢸	tw
U+2A8B9	𪢹	tm
U+2A8BA	𪢺	tp
U+2A8BB	𪢻	ty
U+2A8BC	𪢼	th
U+2A8BD	𪢽	tf
U+2A8BE	𪢾	ht
U+2A8BF	𪢿	ts
U+2A8C0	𪣀	tb
U+2A8C1	𪣁	ty
U+2A8C2	𪣂	tk
U+2A8C3	𪣃	tb
U+2A8C4	𪣄	tg
U+2A8C5	𪣅	ts
U+2A8C6	𪣆	td
U+2A8C7	𪣇	tf
U+2A8C8	𪣈	tk
U+2A8C9	𪣉	ty
U+2A8CA	𪣊	tb
U+2A8CB	𪣋	tc
U+2A8CC	𪣌	te
U+2A8CD	𪣍	tn
U+2A8CE	𪣎	tz
U+2A8CF	𪣏	tz
U+2A8D0	𪣐	tz
U+2A8D1	𪣑	tn
U+2A8D2	𪣒	tj
U+2A8D3	𪣓	tt
U+2A8D4	𪣔	tw
U+2A8D5	𪣕	tk
U+2A8D6	𪣖	mt
U+2A8D7	𪣗	ct
U+2A8D8	𪣘	tw
U+2A8D9	𪣙	tr
U+2A8DA	𪣚	tn
U+2A8DB	𪣛	tl
U+2A8DC	𪣜	tx
U+2A8DD	𪣝	tz
U+2A8DE	𪣞	tq
U+2A8DF	𪣟	th
U+2A8E0	𪣠	tl
U+2A8E1	𪣡	wt
U+2A8E2	𪣢	tw
U+2A8E3	𪣣	tj
U+2A8E4	𪣤	tx
U+2A8E5	𪣥	tw
U+2A8E6	𪣦	tm
U+2A8E7	𪣧	tc
U+2A8E8	𪣨	tg
U+2A8E9	𪣩	tk
U+2A8EA	𪣪	yt
U+2A8EB	𪣫	tk
U+2A8EC	𪣬	tg
U+2A8ED	𪣭	bt
U+2A8EE	𪣮	tn
U+2A8EF	𪣯	ty
U+2A8F0	𪣰	tc
U+2A8F1	𪣱	lg
U+2A8F2	𪣲	tm
U+2A8F3	𪣳	tc
U+2A8F4	𪣴	tz
U+2A8F5	𪣵	tb
U+2A8F6	𪣶	xt
U+2A8F7	𪣷	th
U+2A8F8	𪣸	xt
U+2A8F9	𪣹	tt
U+2A8FA	𪣺	tq
U+2A8FB	𪣻	tl
U+2A8FC	𪣼	ty
U+2A8FD	𪣽	sb
U+2A8FE	𪣾	tn
U+2A8FF	𪣿	et
U+2A900	𪤀	ct
U+2A901	𪤁	tc
U+2A902	𪤂	tm
U+2A903	𪤃	ty
U+2A904	𪤄	tb
U+2A905	𪤅	td
U+2A906	𪤆	ts
U+2A907	𪤇	tc
U+2A908	𪤈	bt
U+2A909	𪤉	ts
U+2A90A	𪤊	lt
U+2A90B	𪤋	tl
U+2A90C	𪤌	ts
U+2A90D	𪤍	tz
U+2A90E	𪤎	tl
U+2A90F	𪤏	tj
U+2A910	𪤐	tj
U+2A911	𪤑	tg
U+2A912	𪤒	th
U+2A913	𪤓	tm
U+2A914	𪤔	tf
U+2A915	𪤕	tc
U+2A916	𪤖	tj
U+2A917	𪤗	tl
U+2A918	𪤘	sm
U+2A919	𪤙	th
U+2A91A	𪤚	tl
U+2A91B	𪤛	tm
U+2A91C	𪤜	ft
U+2A91D	𪤝	yt
U+2A91E	𪤞	tc
U+2A91F	𪤟	nt
U+2A920	𪤠	tl
U+2A921	𪤡	tl
U+2A922	𪤢	tz
U+2A923	𪤣	ty
U+2A924	𪤤	tl
U+2A925	𪤥	ty
U+2A926	𪤦	ts
U+2A927	𪤧	ty
U+2A928	𪤨	tb
U+2A929	𪤩	tx
U+2A92A	𪤪	tq
U+2A92B	𪤫	ty
U+2A92C	𪤬	lt
U+2A92D	𪤭	tc
U+2A92E	𪤮	tl
U+2A92F	𪤯	ty
U+2A930	𪤰	tl
U+2A931	𪤱	nz
U+2A932	𪤲	sg
U+2A933	𪤳	sc
U+2A934	𪤴	yy
U+2A935	𪤵	wk
U+2A936	𪤶	pl
U+2A937	𪤷	xj
U+2A938	𪤸	wg
U+2A939	𪤹	xm
U+2A93A	𪤺	xg
U+2A93B	𪤻	dp
U+2A93C	𪤼	xl
U+2A93D	𪤽	ld
U+2A93E	𪤾	xc
U+2A93F	𪤿	xm
U+2A940	𪥀	ld
U+2A941	𪥁	dy
U+2A942	𪥂	dd
U+2A943	𪥃	fd
U+2A944	𪥄	md
U+2A945	𪥅	dg
U+2A946	𪥆	dy
U+2A947	𪥇	bd
U+2A948	𪥈	dp
U+2A949	𪥉	tb
U+2A94A	𪥊	wd
U+2A94B	𪥋	dw
U+2A94C	𪥌	pd
U+2A94D	𪥍	dd
U+2A94E	𪥎	kd
U+2A94F	𪥏	dr
U+2A950	𪥐	cs
U+2A951	𪥑	nn
U+2A952	𪥒	cd
U+2A953	𪥓	dt
U+2A954	𪥔	kd
U+2A955	𪥕	dq
U+2A956	𪥖	rd
U+2A957	𪥗	qd
U+2A958	𪥘	ld
U+2A959	𪥙	pt
U+2A95A	𪥚	kx
U+2A95B	𪥛	ld
U+2A95C	𪥜	dc
U+2A95D	𪥝	dd
U+2A95E	𪥞	gd
U+2A95F	𪥟	td
U+2A960	𪥠	bd
U+2A961	𪥡	dd
U+2A962	𪥢	hd
U+2A963	𪥣	xh
U+2A964	𪥤	sn
U+2A965	𪥥	ng
U+2A966	𪥦	nh
U+2A967	𪥧	nz
U+2A968	𪥨	nr
U+2A969	𪥩	np
U+2A96A	𪥪	nj
U+2A96B	𪥫	ns
U+2A96C	𪥬	ny
U+2A96D	𪥭	nd
U+2A96E	𪥮	nj
U+2A96F	𪥯	gn
U+2A970	𪥰	nn
U+2A971	𪥱	nc
U+2A972	𪥲	nb
U+2A973	𪥳	nd
U+2A974	𪥴	zn
U+2A975	𪥵	ny
U+2A976	𪥶	nb
U+2A977	𪥷	bn
U+2A978	𪥸	wh
U+2A979	𪥹	ns
U+2A97A	𪥺	ln
U+2A97B	𪥻	jf
U+2A97C	𪥼	nq
U+2A97D	𪥽	nc
U+2A97E	𪥾	dg
U+2A97F	𪥿	nm
U+2A980	𪦀	nf
U+2A981	𪦁	nk
U+2A982	𪦂	nd
U+2A983	𪦃	nd
U+2A984	𪦄	nc
U+2A985	𪦅	nk
U+2A986	𪦆	dz
U+2A987	𪦇	nf
U+2A988	𪦈	ny
U+2A989	𪦉	nj
U+2A98A	𪦊	ne
U+2A98B	𪦋	nd
U+2A98C	𪦌	nz
U+2A98D	𪦍	wg
U+2A98E	𪦎	ny
U+2A98F	𪦏	nj
U+2A990	𪦐	nw
U+2A991	𪦑	cn
U+2A992	𪦒	nq
U+2A993	𪦓	nm
U+2A994	𪦔	nc
U+2A995	𪦕	nd
U+2A996	𪦖	nm
U+2A997	𪦗	nn
U+2A998	𪦘	nh
U+2A999	𪦙	ne
U+2A99A	𪦚	nb
U+2A99B	𪦛	nt
U+2A99C	𪦜	nz
U+2A99D	𪦝	ns
U+2A99E	𪦞	nx
U+2A99F	𪦟	hy
U+2A9A0	𪦠	yn
U+2A9A1	𪦡	nc
U+2A9A2	𪦢	nj
U+2A9A3	𪦣	nr
U+2A9A4	𪦤	ns
U+2A9A5	𪦥	sn
U+2A9A6	𪦦	nc
U+2A9A7	𪦧	ny
U+2A9A8	𪦨	ns
U+2A9A9	𪦩	nw
U+2A9AA	𪦪	ny
U+2A9AB	𪦫	ng
U+2A9AC	𪦬	nx
U+2A9AD	𪦭	gw
U+2A9AE	𪦮	nt
U+2A9AF	𪦯	ny
U+2A9B0	𪦰	ne
U+2A9B1	𪦱	ny
U+2A9B2	𪦲	sm
U+2A9B3	𪦳	ne
U+2A9B4	𪦴	nj
U+2A9B5	𪦵	zn
U+2A9B6	𪦶	zz
U+2A9B7	𪦷	zg
U+2A9B8	𪦸	zl
U+2A9B9	𪦹	zw
U+2A9BA	𪦺	zb
U+2A9BB	𪦻	hz
U+2A9BC	𪦼	zd
U+2A9BD	𪦽	hz
U+2A9BE	𪦾	zb
U+2A9BF	𪦿	zs
U+2A9C0	𪧀	zy
U+2A9C1	𪧁	zz
U+2A9C2	𪧂	cz
U+2A9C3	𪧃	xz
U+2A9C4	𪧄	gw
U+2A9C5	𪧅	gs
U+2A9C6	𪧆	gc
U+2A9C7	𪧇	gp
U+2A9C8	𪧈	gt
U+2A9C9	𪧉	gz
U+2A9CA	𪧊	gk
U+2A9CB	𪧋	gn
U+2A9CC	𪧌	gm
U+2A9CD	𪧍	wx
U+2A9CE	𪧎	gz
U+2A9CF	𪧏	gh
U+2A9D0	𪧐	gb
U+2A9D1	𪧑	gd
U+2A9D2	𪧒	gg
U+2A9D3	𪧓	gb
U+2A9D4	𪧔	gl
U+2A9D5	𪧕	gf
U+2A9D6	𪧖	gh
U+2A9D7	𪧗	gt
U+2A9D8	𪧘	gl
U+2A9D9	𪧙	gn
U+2A9DA	𪧚	zs
U+2A9DB	𪧛	gx
U+2A9DC	𪧜	ga
U+2A9DD	𪧝	gh
U+2A9DE	𪧞	gm
U+2A9DF	𪧟	gy
U+2A9E0	𪧠	gd
U+2A9E1	𪧡	zs
U+2A9E2	𪧢	gy
U+2A9E3	𪧣	gs
U+2A9E4	𪧤	gw
U+2A9E5	𪧥	gf
U+2A9E6	𪧦	gs
U+2A9E7	𪧧	gz
U+2A9E8	𪧨	gz
U+2A9E9	𪧩	gn
U+2A9EA	𪧪	gs
U+2A9EB	𪧫	gm
U+2A9EC	𪧬	gf
U+2A9ED	𪧭	gx
U+2A9EE	𪧮	gg
U+2A9EF	𪧯	gs
U+2A9F0	𪧰	fy
U+2A9F1	𪧱	hj
U+2A9F2	𪧲	gs
U+2A9F3	𪧳	gl
U+2A9F4	𪧴	gy
U+2A9F5	𪧵	gj
U+2A9F6	𪧶	xc
U+2A9F7	𪧷	ss
U+2A9F8	𪧸	qc
U+2A9F9	𪧹	gn
U+2A9FA	𪧺	sc
U+2A9FB	𪧻	sb
U+2A9FC	𪧼	xc
U+2A9FD	𪧽	bc
U+2A9FE	𪧾	xc
U+2A9FF	𪧿	nx
U+2AA00	𪨀	xc
U+2AA01	𪨁	fx
U+2AA02	𪨂	yx
U+2AA03	𪨃	xz
U+2AA04	𪨄	sp
U+2AA05	𪨅	xz
U+2AA06	𪨆	xw
U+2AA07	𪨇	wg
U+2AA08	𪨈	ys
U+2AA09	𪨉	ss
U+2AA0A	𪨊	sc
U+2AA0B	𪨋	sr
U+2AA0C	𪨌	sq
U+2AA0D	𪨍	ss
U+2AA0E	𪨎	cj
U+2AA0F	𪨏	sb
U+2AA10	𪨐	jt
U+2AA11	𪨑	cc
U+2AA12	𪨒	sj
U+2AA13	𪨓	sg
U+2AA14	𪨔	sj
U+2AA15	𪨕	wc
U+2AA16	𪨖	wj
U+2AA17	𪨗	sq
U+2AA18	𪨘	sk
